ConsumptionID,AccountNum,NoOfUnits,SmartMeterPerc,entrant,Date
101,9554,486.17,0,0,07/01/2016
102,5118,810.5,0.1,0,07/01/2016
103,5506,750.76,0.15,0,07/01/2016
104,1423,1000.26,0,0,07/01/2016
105,138,758,0,0,07/01/2016
106,6360,700.37,0.15,0,07/01/2016
107,2053,674.38,0,0,07/01/2016
108,10344,1021.58,0,0,07/01/2016
109,3375,773.05,0.1,0,07/01/2016
110,1339,969.13,0.5,0,07/01/2016
111,7247,580.33,0,0,07/01/2016
112,1273,751.24,0.5,0,07/01/2016
113,6277,835.06,0,0,07/01/2016
114,7701,984.48,0.1,0,07/01/2016
115,4126,900.96,0,0,07/01/2016
116,9528,701.95,0.2,0,07/01/2016
117,1853,719.2,0,0,07/01/2016
118,11149,742.02,0,0,07/01/2016
119,5828,776.74,0.1,0,07/01/2016
120,6887,651.79,0,0,07/01/2016
121,4781,824.89,0.1,0,07/01/2016
122,10668,638.39,0,0,07/01/2016
123,5421,1076.14,0,0,07/01/2016
124,10200,579.55,0.1,0,07/01/2016
125,11254,777.33,0.15,0,07/01/2016
126,11106,549.85,0,0,07/01/2016
127,8456,764.09,0,0,07/01/2016
128,6149,879.51,0.4,0,07/01/2016
129,1473,671.88,0,0,07/01/2016
130,1840,887.91,0.002,0,07/01/2016
131,6757,699.8,0,0,07/01/2016
132,3972,850.87,0,0,07/01/2016
133,9316,946.74,0.07,0,07/01/2016
134,11213,549.72,0.17,0,07/01/2016
135,3474,755.03,0.2,0,07/01/2016
136,14630,828.63,0.07,0,07/01/2016
137,13256,323.95,0,0,07/01/2016
138,14665,683.29,0.5,0,07/01/2016
139,13363,557.23,0,0,07/01/2016
140,14645,683.02,0.2,0,07/01/2016
141,13163,840.2,0,0,07/01/2016
142,14553,970.75,0,0,07/01/2016
143,14287,929.79,0,0,07/01/2016
144,13179,692.13,0.2,0,07/01/2016
145,13035,878.83,0.17,0,07/01/2016
146,14322,572.78,0.1,0,07/01/2016
147,13196,840.06,0,0,07/01/2016
148,14604,765.99,0.1,0,07/01/2016
149,12961,627.91,0.1,0,07/01/2016
150,14676,884.14,0,0,07/01/2016
151,14087,776.99,0.5,0,07/01/2016
152,13194,567.36,0.1,0,07/01/2016
153,14513,870.71,0,0,07/01/2016
154,13461,1177.7,0.1,0,07/01/2016
155,14510,950.5,0.1,0,07/01/2016
156,13190,817.61,0,0,07/01/2016
157,14508,658.86,0.32,0,07/01/2016
158,14472,764.33,0.2,0,07/01/2016
159,14562,1005.38,0,0,07/01/2016
160,13206,968.28,0,0,07/01/2016
161,13080,800.96,0,0,07/01/2016
162,14633,564.17,0,0,07/01/2016
163,14097,752.39,0,0,07/01/2016
164,13024,771.59,0,0,07/01/2016
165,778,1069.32,0.1,0,07/01/2016
166,7146,836.5,0,0,07/01/2016
167,6365,934.82,0.07,0,07/01/2016
168,8422,760.75,0.27,0,07/01/2016
169,3784,665.07,0.1,0,07/01/2016
170,10519,704.72,0.17,0,07/01/2016
171,7132,1058.32,0.1,0,07/01/2016
172,3709,883.45,0.7,0,07/01/2016
173,1509,626.75,0.17,0,07/01/2016
174,1636,635.28,0,0,07/01/2016
175,2784,574.3,0.3,0,07/01/2016
176,9174,813.06,0.1,0,07/01/2016
177,122,911.98,0,0,07/01/2016
178,3800,880.15,0,0,07/01/2016
179,10029,931.86,0,0,07/01/2016
180,2805,809.69,0.5,0,07/01/2016
181,12253,786.46,0,0,07/01/2016
182,3528,801.48,0.15,0,07/01/2016
183,11018,748.04,0.35,0,07/01/2016
184,3222,670.5,0,0,07/01/2016
185,6246,548.96,0,0,07/01/2016
186,8741,569.94,0.15,0,07/01/2016
187,8050,731.05,0.3,0,07/01/2016
188,5474,1035.94,0,0,07/01/2016
189,474,799.66,0.47,0,07/01/2016
190,12255,843.85,0,0,07/01/2016
191,10288,928.7,0,0,07/01/2016
192,4717,856.5,0.1,0,07/01/2016
193,4799,767.79,0,0,07/01/2016
194,4533,996.66,0.2,0,07/01/2016
195,12383,795.46,0.17,0,07/01/2016
196,3518,678.47,0.2,0,07/01/2016
197,4674,861.31,0.1,0,07/01/2016
198,8519,819.68,0,0,07/01/2016
199,5302,766.53,0.1,0,07/01/2016
200,3594,834.13,0.1,0,07/01/2016
201,9890,618.91,0,0,07/01/2016
202,1410,942.95,0.1,0,07/01/2016
203,7521,1002.71,0,0,07/01/2016
204,2106,834.85,0.15,0,07/01/2016
205,8144,868.06,0,0,07/01/2016
206,5643,684.37,0,0,07/01/2016
207,2041,691.12,0,0,07/01/2016
208,7537,801.12,0,0,07/01/2016
209,3056,825.89,0.2,0,07/01/2016
210,7967,606.3,0,0,07/01/2016
211,1758,1046.44,0,0,07/01/2016
212,7884,550.83,0.1,0,07/01/2016
213,289,670.35,0.2,0,07/01/2016
214,10081,800.93,0,0,07/01/2016
215,1169,881.87,0,0,07/01/2016
216,1182,772.83,0,0,07/01/2016
217,717,730.49,0,0,07/01/2016
218,20423,844.57,0,0,07/01/2016
219,5801,737.62,0.1,0,07/01/2016
220,702,643.98,0,0,07/01/2016
221,6951,587.1,0,0,07/01/2016
222,6780,681.31,0.4,0,07/01/2016
223,6422,857.96,0,0,07/01/2016
224,5384,792.56,0,0,07/01/2016
225,2985,938.51,0,0,07/01/2016
226,18349,865.67,0,0,07/01/2016
227,11286,1087.35,0.1,0,07/01/2016
228,489,669.97,0.15,0,07/01/2016
229,4510,635.28,0,0,07/01/2016
230,9626,608.51,0.1,0,07/01/2016
231,9494,937.63,0.1,0,07/01/2016
232,1718,904.92,0.2,0,07/01/2016
233,5295,788.73,0.2,0,07/01/2016
234,3984,939.97,0,0,07/01/2016
235,5270,895.91,0,0,07/01/2016
236,10966,690.85,0,0,07/01/2016
237,1868,888.32,0.2,0,07/01/2016
238,17446,549.95,0,0,07/01/2016
239,10071,1046.68,0,0,07/01/2016
240,1271,869.29,0.2,0,07/01/2016
241,11930,927.71,0,0,07/01/2016
242,20529,1102.5,0,0,07/01/2016
243,8358,1031.06,0.07,0,07/01/2016
244,7705,769.77,0,0,07/01/2016
245,17392,658.94,0.15,0,07/01/2016
246,18276,660.55,0.7,0,07/01/2016
247,7795,664.49,0.1,0,07/01/2016
248,20655,701.3,0,0,07/01/2016
249,2454,963.07,0.4,0,07/01/2016
250,150,993.23,0,0,07/01/2016
251,10671,974.28,0,0,07/01/2016
252,11924,731.11,0,0,07/01/2016
253,16086,862.33,0,0,07/01/2016
254,4398,708.64,0,0,07/01/2016
255,5687,612.54,0.3,0,07/01/2016
256,8534,840.81,0,0,07/01/2016
257,3372,680.57,0,0,07/01/2016
258,10927,790.51,0.4,0,07/01/2016
259,3597,979.89,0,0,07/01/2016
260,2052,972.95,0,0,07/01/2016
261,4399,676.98,0,0,07/01/2016
262,185,581.22,0,0,07/01/2016
263,3441,1166.71,0,0,07/01/2016
264,11947,924.17,0.15,0,07/01/2016
265,1555,996.35,0.1,0,07/01/2016
266,9399,1097.89,0.1,0,07/01/2016
267,2792,548.8,0.17,0,07/01/2016
268,10118,981.26,0,0,07/01/2016
269,8544,904.53,0,0,07/01/2016
270,4296,835.05,0.002,0,07/01/2016
271,4391,786.93,0.4,0,07/01/2016
272,2882,1185.36,0,0,07/01/2016
273,3283,534.15,0,0,07/01/2016
274,397,700.94,0,0,07/01/2016
275,4104,662.82,0,0,07/01/2016
276,12214,860.15,0.1,0,07/01/2016
277,10699,709.59,0.27,0,07/01/2016
278,2091,843.85,0.17,0,07/01/2016
279,10474,948.47,0.002,0,07/01/2016
280,7504,750.79,0.5,0,07/01/2016
281,7518,571.3,0.1,0,07/01/2016
282,1738,942.5,0,0,07/01/2016
283,1622,560.7,0,0,07/01/2016
284,1325,701.89,0,0,07/01/2016
285,5505,1074.9,0,0,07/01/2016
286,4210,892.85,0,0,07/01/2016
287,11229,848.04,0,0,07/01/2016
288,9385,749.44,0.2,0,07/01/2016
289,900,754.59,0.2,0,07/01/2016
290,6217,821.37,0.6,0,07/01/2016
291,9466,916.95,0,0,07/01/2016
292,4596,898.26,0,0,07/01/2016
293,5206,593.12,0,0,07/01/2016
294,2823,752.36,0.4,0,07/01/2016
295,10408,757.73,0,0,07/01/2016
296,11011,635.78,0,0,07/01/2016
297,40,676.79,0,0,07/01/2016
298,11636,827.01,0.17,0,07/01/2016
299,7454,606.43,0.1,0,07/01/2016
300,5138,557.07,0,0,07/01/2016
301,8696,942.08,0,0,07/01/2016
302,2329,833.6,0,0,07/01/2016
303,12431,813.67,0,0,07/01/2016
304,10860,361.13,0.2,0,07/01/2016
305,12094,711.94,0.4,0,07/01/2016
306,5088,696.3,0.2,0,07/01/2016
307,2200,599.88,0,0,07/01/2016
308,3997,661.46,0.5,0,07/01/2016
309,8746,704.81,0,0,07/01/2016
310,3687,828.85,0.2,0,07/01/2016
311,9162,915.66,0,0,07/01/2016
312,8993,906.78,0.07,0,07/01/2016
313,5875,916.19,0.002,0,07/01/2016
314,2502,631.54,0,0,07/01/2016
315,9563,802.95,0.1,0,07/01/2016
316,7259,597.39,0,0,07/01/2016
317,3131,744.67,0.1,0,07/01/2016
318,4140,840.99,0,0,07/01/2016
319,4539,1066.39,0,0,07/01/2016
320,6071,820.39,0,0,07/01/2016
321,8730,824.91,0,0,07/01/2016
322,9634,702.84,0,0,07/01/2016
323,8010,653.43,0,0,07/01/2016
324,3484,663.28,0,0,07/01/2016
325,7307,780.22,0.25,0,07/01/2016
326,1975,911.58,0.07,0,07/01/2016
327,629,244.4,0,0,07/01/2016
328,11753,674.53,0,0,07/01/2016
329,5375,1019.52,0,0,07/01/2016
330,1695,515.34,0,0,07/01/2016
331,9884,584.85,0,0,07/01/2016
332,8498,900.39,0.4,0,07/01/2016
333,7534,829.15,0.17,0,07/01/2016
334,123,814.28,0,0,07/01/2016
335,8925,895.34,0.1,0,07/01/2016
336,5981,911.72,0.1,0,07/01/2016
337,7347,770.68,0.15,0,07/01/2016
338,19445,824.05,0,0,07/01/2016
339,19444,750.58,0.1,0,07/01/2016
340,19443,835.59,0.4,0,07/01/2016
341,19442,791.78,0,0,07/01/2016
342,19441,879.29,0.15,0,07/01/2016
343,19440,1116.41,0,0,07/01/2016
344,19439,698.84,0,0,07/01/2016
345,19438,842.02,0.4,0,07/01/2016
346,19437,787.1,0,0,07/01/2016
347,19436,720.31,0.3,0,07/01/2016
348,19435,773.66,0.1,0,07/01/2016
349,19434,1075.89,0,0,07/01/2016
350,19433,772.33,0.1,0,07/01/2016
351,19432,662.58,0.35,0,07/01/2016
352,19431,843.47,0.15,0,07/01/2016
353,19430,551.32,0.2,0,07/01/2016
354,19429,831.82,0.1,0,07/01/2016
355,19428,870.57,0,0,07/01/2016
356,19427,786.06,0.1,0,07/01/2016
357,19426,759.64,0,0,07/01/2016
358,19425,520.46,0.15,0,07/01/2016
359,19424,811.63,0,0,07/01/2016
360,19423,974.83,0.1,0,07/01/2016
361,19422,836.06,0.2,0,07/01/2016
362,19421,812.24,0,0,07/01/2016
363,19420,1055.17,0.5,0,07/01/2016
364,19419,555.62,0.3,0,07/01/2016
365,19418,1064.73,0.15,0,07/01/2016
366,19417,771.82,0,0,07/01/2016
367,19416,801.99,0.1,0,07/01/2016
368,19415,730.36,0.1,0,07/01/2016
369,19414,753.22,0.17,0,07/01/2016
370,19413,877.23,0.1,0,07/01/2016
371,19412,762.6,0,0,07/01/2016
372,19411,778.5,0.1,0,07/01/2016
373,19410,725.84,0.002,0,07/01/2016
374,19409,661.54,0.2,0,07/01/2016
375,19408,504.24,0,0,07/01/2016
376,19407,825.94,0,0,07/01/2016
377,19406,634.29,0.27,0,07/01/2016
378,19405,736.14,0,0,07/01/2016
379,19404,851.93,0.1,0,07/01/2016
380,19403,528.29,0,0,07/01/2016
381,19402,586.48,0,0,07/01/2016
382,19401,620.29,0.15,0,07/01/2016
383,19400,957.95,0.17,0,07/01/2016
384,19399,583.22,0,0,07/01/2016
385,19398,729.7,0,0,07/01/2016
386,19397,606.2,0,0,07/01/2016
387,19396,601.03,0,0,07/01/2016
388,19395,935.01,0,0,07/01/2016
389,19394,652.2,0,0,07/01/2016
390,19393,743.58,0.1,0,07/01/2016
391,19392,889.06,0.2,0,07/01/2016
392,19391,681.32,0.2,0,07/01/2016
393,19390,949.59,0,0,07/01/2016
394,19389,509.38,0.65,0,07/01/2016
395,19388,888.47,0,0,07/01/2016
396,19387,747.74,0,0,07/01/2016
397,19386,770.67,0,0,07/01/2016
398,19385,634.83,0,0,07/01/2016
399,19384,605.21,0.1,0,07/01/2016
400,19383,695.24,0.2,0,07/01/2016
401,19382,694.55,0,0,07/01/2016
402,19381,798.92,0.07,0,07/01/2016
403,19380,595.7,0,0,07/01/2016
404,19379,957.28,0,0,07/01/2016
405,19378,845.62,0,0,07/01/2016
406,19377,765.55,0,0,07/01/2016
407,19376,1063.48,0,0,07/01/2016
408,19375,950.08,0,0,07/01/2016
409,19374,733.47,0,0,07/01/2016
410,19373,889.54,0,0,07/01/2016
411,19372,931.66,0,0,07/01/2016
412,19371,879.67,0,0,07/01/2016
413,19370,768.1,0,0,07/01/2016
414,19369,891.78,0,0,07/01/2016
415,19368,742.32,0,0,07/01/2016
416,19367,965.07,0.1,0,07/01/2016
417,19366,686.45,0,0,07/01/2016
418,19365,961.91,0,0,07/01/2016
419,19364,1069.87,0.2,0,07/01/2016
420,19363,867.34,0.2,0,07/01/2016
421,19362,686.58,0,0,07/01/2016
422,19361,1015.45,0,0,07/01/2016
423,19360,669.69,0,0,07/01/2016
424,19359,626.42,0,0,07/01/2016
425,19358,1072,0.4,0,07/01/2016
426,19357,865.04,0,0,07/01/2016
427,19356,688.98,0,0,07/01/2016
428,19355,785.52,0,0,07/01/2016
429,19354,797.67,0,0,07/01/2016
430,19353,846.15,0,0,07/01/2016
431,19352,773.2,0,0,07/01/2016
432,19351,998.93,0.35,0,07/01/2016
433,19350,868.58,0,0,07/01/2016
434,12069,751.99,0.1,0,07/01/2016
435,9597,666.58,0,0,07/01/2016
436,9467,901.61,0.35,0,07/01/2016
437,2546,902.76,0,0,07/01/2016
438,2240,796.83,0.2,0,07/01/2016
439,11650,642.72,0.1,0,07/01/2016
440,10368,832.37,0,0,07/01/2016
441,6489,988.29,0,0,07/01/2016
442,10533,682.29,0,0,07/01/2016
443,11292,838.84,0.07,0,07/01/2016
444,47,890.73,0,0,07/01/2016
445,6405,752.77,0,0,07/01/2016
446,2426,748.97,0,0,07/01/2016
447,8133,572.76,0,0,07/01/2016
448,1429,936.44,0.1,0,07/01/2016
449,9120,943.71,0.15,0,07/01/2016
450,12221,868.52,0,0,07/01/2016
451,9415,885.58,0,0,07/01/2016
452,724,519.84,0.2,0,07/01/2016
453,8897,958.46,0,0,07/01/2016
454,7112,699.62,0,0,07/01/2016
455,1086,709.33,0,0,07/01/2016
456,2916,835.9,0,0,07/01/2016
457,11339,669.56,0,0,07/01/2016
458,10166,1090.44,0.1,0,07/01/2016
459,3091,535.6,0,0,07/01/2016
460,1070,771.06,0.17,0,07/01/2016
461,6871,1147.92,0,0,07/01/2016
462,2339,938.86,0,0,07/01/2016
463,4232,947.73,0,0,07/01/2016
464,8986,848.71,0,0,07/01/2016
465,6491,958.96,0,0,07/01/2016
466,5564,687.94,0.1,0,07/01/2016
467,7955,811.93,0,0,07/01/2016
468,5728,988.94,0,0,07/01/2016
469,9704,703.79,0.17,0,07/01/2016
470,8485,534.57,0.07,0,07/01/2016
471,11216,878.4,0.17,0,07/01/2016
472,12160,795.15,0,0,07/01/2016
473,6352,693.03,0,0,07/01/2016
474,5870,984.8,0,0,07/01/2016
475,11776,591.87,0,0,07/01/2016
476,7060,803.83,0.1,0,07/01/2016
477,3466,627.4,0.07,0,07/01/2016
478,1834,695.95,0,0,07/01/2016
479,2439,698.83,0,0,07/01/2016
480,6416,1106.99,0,0,07/01/2016
481,6310,702.04,0,0,07/01/2016
482,9029,695.68,0.7,0,07/01/2016
483,295,806.5,0,0,07/01/2016
484,9011,1111.85,0.1,0,07/01/2016
485,1577,966.98,0,0,07/01/2016
486,1568,696.91,0,0,07/01/2016
487,9047,720.13,0.1,0,07/01/2016
488,7603,793.79,0,0,07/01/2016
489,6746,830.26,0.1,0,07/01/2016
490,1566,1016.56,0,0,07/01/2016
491,2918,775.72,0,0,07/01/2016
492,1491,977.21,0.5,0,07/01/2016
493,14915,642.96,0.1,0,07/01/2016
494,9619,792.67,0,0,07/01/2016
495,2363,723.66,0,0,07/01/2016
496,5898,690.67,0.5,0,07/01/2016
497,1948,903.23,0,0,07/01/2016
498,1820,684.81,0.002,0,07/01/2016
499,14770,1004.21,0.2,0,07/01/2016
500,1962,795.29,0.35,0,07/01/2016
501,7175,835.89,0,0,07/01/2016
502,1222,786.47,0,0,07/01/2016
503,487,714.14,0,0,07/01/2016
504,2217,699.63,0.25,0,07/01/2016
505,14824,1130.5,0,0,07/01/2016
506,2078,929.73,0.1,0,07/01/2016
507,10497,834.03,0,0,07/01/2016
508,4695,674.74,0.1,0,07/01/2016
509,9857,733.45,0.15,0,07/01/2016
510,2168,974.21,0.2,0,07/01/2016
511,4078,941.85,0,0,07/01/2016
512,11887,732.97,0,0,07/01/2016
513,6588,663.37,0.5,0,07/01/2016
514,7167,699.81,0,0,07/01/2016
515,1459,1136,0,0,07/01/2016
516,548,1041.18,0,0,07/01/2016
517,5224,773.02,0,0,07/01/2016
518,2686,1084.52,0.2,0,07/01/2016
519,468,790.71,0,0,07/01/2016
520,1260,516.43,0.2,0,07/01/2016
521,3050,1057.52,0.2,0,07/01/2016
522,10308,760.93,0,0,07/01/2016
523,387,807.56,0,0,07/01/2016
524,2270,1034.6,0,0,07/01/2016
525,482,861.43,0,0,07/01/2016
526,1956,900.45,0.1,0,07/01/2016
527,7466,737.19,0.5,0,07/01/2016
528,8224,854.11,0,0,07/01/2016
529,3490,786.13,0,0,07/01/2016
530,1596,547.37,0,0,07/01/2016
531,3969,752.63,0,0,07/01/2016
532,9342,699.42,0.1,0,07/01/2016
533,2028,705.27,0.2,0,07/01/2016
534,3940,924.54,0,0,07/01/2016
535,8293,862.53,0.3,0,07/01/2016
536,9962,687.45,0,0,07/01/2016
537,8098,928.69,0,0,07/01/2016
538,8348,1018.86,0,0,07/01/2016
539,653,786.75,0.2,0,07/01/2016
540,8645,924.05,0,0,07/01/2016
541,1275,579.46,0.1,0,07/01/2016
542,11189,831.08,0,0,07/01/2016
543,5988,717.39,0,0,07/01/2016
544,9726,640.71,0.17,0,07/01/2016
545,5113,691.92,0,0,07/01/2016
546,7202,893.34,0,0,07/01/2016
547,1173,904.79,0,0,07/01/2016
548,13597,699.25,0.1,0,07/01/2016
549,4047,643.43,0.4,0,07/01/2016
550,6594,1113.99,0,0,07/01/2016
551,1186,735.06,0,0,07/01/2016
552,4279,808.19,0,0,07/01/2016
553,4151,755.02,0.4,0,07/01/2016
554,14848,764.65,0,0,07/01/2016
555,4697,571.11,0,0,07/01/2016
556,5887,986.3,0.2,0,07/01/2016
557,3207,726.25,0.4,0,07/01/2016
558,12310,856.15,0,0,07/01/2016
559,8397,698.03,0,0,07/01/2016
560,6306,846.64,0,0,07/01/2016
561,8002,679.48,0,0,07/01/2016
562,12382,767.12,0,0,07/01/2016
563,7844,650.6,0,0,07/01/2016
564,12291,758.62,0,0,07/01/2016
565,6523,849.08,0,0,07/01/2016
566,4867,784.79,0,0,07/01/2016
567,5301,733.48,0.5,0,07/01/2016
568,4784,607.15,0,0,07/01/2016
569,7446,652.57,0.2,0,07/01/2016
570,11455,695.3,0,0,07/01/2016
571,5364,874.65,0,0,07/01/2016
572,259,717.42,0,0,07/01/2016
573,11290,778.09,0,0,07/01/2016
574,8517,932.1,0.4,0,07/01/2016
575,7407,622.28,0,0,07/01/2016
576,5965,755.57,0,0,07/01/2016
577,8677,869.58,0,0,07/01/2016
578,10093,630.91,0.07,0,07/01/2016
579,12119,761.19,0,0,07/01/2016
580,8274,886.07,0.2,0,07/01/2016
581,2291,867.73,0,0,07/01/2016
582,11310,883.64,0,0,07/01/2016
583,155,870.48,0,0,07/01/2016
584,4998,1024,0.2,0,07/01/2016
585,7720,716.73,0.15,0,07/01/2016
586,3099,578.78,0,0,07/01/2016
587,5011,602.68,0.2,0,07/01/2016
588,2643,892.43,0.1,0,07/01/2016
589,9501,1064.88,0,0,07/01/2016
590,9760,963.1,0.2,0,07/01/2016
591,11793,824.09,0,0,07/01/2016
592,7273,1032.83,0,0,07/01/2016
593,3329,675.74,0.15,0,07/01/2016
594,9429,956.4,0.1,0,07/01/2016
595,437,835.64,0.1,0,07/01/2016
596,2538,689.15,0,0,07/01/2016
597,4280,875.28,0.17,0,07/01/2016
598,2813,750.75,0,0,07/01/2016
599,4249,751.4,0,0,07/01/2016
600,9697,852.38,0.15,0,07/01/2016
601,27,677.17,0,0,07/01/2016
602,5274,1027.08,0.15,0,07/01/2016
603,11273,967.37,0.8,0,07/01/2016
604,9495,688.61,0.27,0,07/01/2016
605,4841,770.58,0,0,07/01/2016
606,9803,649.56,0,0,07/01/2016
607,7391,811.69,0,0,07/01/2016
608,11426,766.01,0.2,0,07/01/2016
609,11664,893.72,0.1,0,07/01/2016
610,5339,750.74,0,0,07/01/2016
611,3204,841.03,0.1,0,07/01/2016
612,4438,1015.02,0,0,07/01/2016
613,5243,825.89,0,0,07/01/2016
614,5089,753.92,0,0,07/01/2016
615,6073,703.67,0,0,07/01/2016
616,8992,711.82,0,0,07/01/2016
617,6466,732.57,0.15,0,07/01/2016
618,11438,864.51,0,0,07/01/2016
619,9524,724.01,0.2,0,07/01/2016
620,2464,747.69,0,0,07/01/2016
621,3770,757.58,0,0,07/01/2016
622,1306,669.82,0.2,0,07/01/2016
623,10811,511.18,0.1,0,07/01/2016
624,12033,390.65,0,0,07/01/2016
625,9248,665.16,0.2,0,07/01/2016
626,2214,944.15,0,0,07/01/2016
627,6738,443.63,0.3,0,07/01/2016
628,5074,684.1,0,0,07/01/2016
629,9148,682.47,0,0,07/01/2016
630,3497,729.58,0.15,0,07/01/2016
631,10066,1033.89,0.4,0,07/01/2016
632,4248,525.89,0.1,0,07/01/2016
633,6473,696.99,0,0,07/01/2016
634,12288,761.02,0,0,07/01/2016
635,7764,746.7,0,0,07/01/2016
636,11720,694.81,0,0,07/01/2016
637,3935,761.41,0,0,07/01/2016
638,10416,724.04,0,0,07/01/2016
639,424,545.39,0,0,07/01/2016
640,10031,835.63,0.1,0,07/01/2016
641,10819,1004.55,0.1,0,07/01/2016
642,5418,776.97,0.07,0,07/01/2016
643,7272,770,0,0,07/01/2016
644,5329,834.24,0.6,0,07/01/2016
645,7810,543.82,0,0,07/01/2016
646,3624,863.94,0,0,07/01/2016
647,7331,1040.6,0.15,0,07/01/2016
648,125,989.18,0,0,07/01/2016
649,9419,615.59,0.1,0,07/01/2016
650,1250,706.03,0.2,0,07/01/2016
651,7683,867.52,0,0,07/01/2016
652,2728,724.42,0,0,07/01/2016
653,4612,771.15,0,0,07/01/2016
654,12019,883.09,0,0,07/01/2016
655,10549,874.2,0.2,0,07/01/2016
656,4909,889.54,0,0,07/01/2016
657,5854,644.34,0.002,0,07/01/2016
658,3066,723.02,0.2,0,07/01/2016
659,11431,673.71,0,0,07/01/2016
660,9906,832.49,0.1,0,07/01/2016
661,2048,896.52,0.1,0,07/01/2016
662,3071,773.71,0,0,07/01/2016
663,11065,872.1,0,0,07/01/2016
664,394,751.46,0.2,0,07/01/2016
665,5707,1118.29,0,0,07/01/2016
666,2682,1007.11,0.2,0,07/01/2016
667,467,680.77,0,0,07/01/2016
